Index,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1326,0.539,0.9,9,-7.727,0,0.272,0.00498,0.696,0.624,0.0893,122.99,audio_features,4ok2ABMYcMneg75GeoCrwf,spotify:track:4ok2ABMYcMneg75GeoCrwf,https://api.spotify.com/v1/tracks/4ok2ABMYcMneg75GeoCrwf,https://api.spotify.com/v1/audio-analysis/4ok2ABMYcMneg75GeoCrwf,272899,4
1327,0.709,0.736,4,-6.162,0,0.245,0.721,0,0.134,0.499,127.006,audio_features,7BN8PtxIEZLI1DSH6YzVSJ,spotify:track:7BN8PtxIEZLI1DSH6YzVSJ,https://api.spotify.com/v1/tracks/7BN8PtxIEZLI1DSH6YzVSJ,https://api.spotify.com/v1/audio-analysis/7BN8PtxIEZLI1DSH6YzVSJ,211653,4
1328,0.708,0.689,3,-6.831,0,0.037,0.0397,6.85E-06,0.113,0.287,117.003,audio_features,3Qqwo0RBORpZXHhVYG0b54,spotify:track:3Qqwo0RBORpZXHhVYG0b54,https://api.spotify.com/v1/tracks/3Qqwo0RBORpZXHhVYG0b54,https://api.spotify.com/v1/audio-analysis/3Qqwo0RBORpZXHhVYG0b54,238696,4
1329,0.697,0.526,8,-6.102,1,0.0651,0.302,0.000129,0.124,0.715,77.461,audio_features,3fuoMMj6O5JEclolfpmtmp,spotify:track:3fuoMMj6O5JEclolfpmtmp,https://api.spotify.com/v1/tracks/3fuoMMj6O5JEclolfpmtmp,https://api.spotify.com/v1/audio-analysis/3fuoMMj6O5JEclolfpmtmp,221863,4
1330,0.753,0.525,6,-8.32,1,0.352,0.152,0,0.141,0.482,169.984,audio_features,1z1btB03Hw1gYwSLPlt67z,spotify:track:1z1btB03Hw1gYwSLPlt67z,https://api.spotify.com/v1/tracks/1z1btB03Hw1gYwSLPlt67z,https://api.spotify.com/v1/audio-analysis/1z1btB03Hw1gYwSLPlt67z,325733,4
1331,0.75,0.708,9,-6.111,0,0.272,0.237,0,0.104,0.465,112.018,audio_features,4mgZfqvP2jc7GdW5M8eJK7,spotify:track:4mgZfqvP2jc7GdW5M8eJK7,https://api.spotify.com/v1/tracks/4mgZfqvP2jc7GdW5M8eJK7,https://api.spotify.com/v1/audio-analysis/4mgZfqvP2jc7GdW5M8eJK7,109891,5
1332,0.479,0.594,7,-7.443,1,0.181,0.375,1.39E-05,0.351,0.382,164.987,audio_features,5pPpb37zluVG1TOz1eBExW,spotify:track:5pPpb37zluVG1TOz1eBExW,https://api.spotify.com/v1/tracks/5pPpb37zluVG1TOz1eBExW,https://api.spotify.com/v1/audio-analysis/5pPpb37zluVG1TOz1eBExW,224816,3
1333,0.483,0.564,6,-7.887,1,0.331,0.577,2.19E-05,0.103,0.414,81.287,audio_features,3ILta8SPlsWdOueRYzc5mL,spotify:track:3ILta8SPlsWdOueRYzc5mL,https://api.spotify.com/v1/tracks/3ILta8SPlsWdOueRYzc5mL,https://api.spotify.com/v1/audio-analysis/3ILta8SPlsWdOueRYzc5mL,184525,3
1334,0.692,0.711,7,-6.272,1,0.102,0.498,0,0.233,0.718,139.985,audio_features,70im6fWHD1m7VQve5I6Yim,spotify:track:70im6fWHD1m7VQve5I6Yim,https://api.spotify.com/v1/tracks/70im6fWHD1m7VQve5I6Yim,https://api.spotify.com/v1/audio-analysis/70im6fWHD1m7VQve5I6Yim,208853,4
1335,0.89,0.681,0,-5.153,1,0.0793,0.00529,0.128,0.067,0.478,122.013,audio_features,6br178iaXMQcXiNqB1OzBx,spotify:track:6br178iaXMQcXiNqB1OzBx,https://api.spotify.com/v1/tracks/6br178iaXMQcXiNqB1OzBx,https://api.spotify.com/v1/audio-analysis/6br178iaXMQcXiNqB1OzBx,204590,4
